08-07-2026 21:14:27 RAM 2053/7607MB (lfb 5x4MB) SWAP 0/3804MB (cached 0MB) CPU [39%@1728,39%@1728,40%@1728,39%@1728,40%@1728,41%@1728] GR3D_FREQ 0% cpu@54.468C soc2@53.375C soc0@52.968C gpu@54C tj@55.312C soc1@55.312C VDD_IN 8120mW/8152mW VDD_CPU_GPU_CV 1391mW/1401mW VDD_SOC 2941mW/2967mW
08-07-2026 21:14:32 RAM 2054/7607MB (lfb 5x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@729,37%@729,40%@729,38%@729,36%@729,40%@729] GR3D_FREQ 0% cpu@54.437C soc2@53.218C soc0@53.093C gpu@53.906C tj@55.281C soc1@55.281C VDD_IN 8120mW/8152mW VDD_CPU_GPU_CV 1391mW/1401mW VDD_SOC 2941mW/2967mW
08-07-2026 21:14:37 RAM 2056/7607MB (lfb 5x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@729,41%@729,40%@729,39%@729,37%@729,40%@729] GR3D_FREQ 0% cpu@54.406C soc2@53.375C soc0@52.968C gpu@53.875C tj@55.406C soc1@55.406C VDD_IN 8120mW/8151mW VDD_CPU_GPU_CV 1428mW/1402mW VDD_SOC 2941mW/2966mW
08-07-2026 21:14:42 RAM 2053/7607MB (lfb 5x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@960,42%@960,40%@960,41%@960,37%@729,39%@729] GR3D_FREQ 0% cpu@54.562C soc2@53.281C soc0@53.031C gpu@53.906C tj@55.187C soc1@55.187C VDD_IN 8120mW/8150mW VDD_CPU_GPU_CV 1430mW/1402mW VDD_SOC 2941mW/2965mW
08-07-2026 21:14:47 RAM 2053/7607MB (lfb 5x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@729,40%@729,39%@729,39%@729,38%@729,39%@729] GR3D_FREQ 0% cpu@54.437C soc2@53.312C soc0@53.031C gpu@53.906C tj@55.312C soc1@55.312C VDD_IN 8120mW/8149mW VDD_CPU_GPU_CV 1391mW/1402mW VDD_SOC 2941mW/2965mW
08-07-2026 21:14:52 RAM 2044/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [38%@729,40%@729,39%@729,39%@729,40%@729,41%@729] GR3D_FREQ 0% cpu@54.312C soc2@53.343C soc0@53C gpu@53.843C tj@55.218C soc1@55.218C VDD_IN 8120mW/8149mW VDD_CPU_GPU_CV 1391mW/1402mW VDD_SOC 2941mW/2964mW
08-07-2026 21:14:57 RAM 2046/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [39%@729,39%@729,40%@729,39%@729,38%@729,40%@729] GR3D_FREQ 0% cpu@54.562C soc2@53.406C soc0@52.968C gpu@54.093C tj@55.468C soc1@55.468C VDD_IN 8120mW/8148mW VDD_CPU_GPU_CV 1391mW/1402mW VDD_SOC 2941mW/2964mW
08-07-2026 21:15:02 RAM 2045/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [39%@1728,39%@1728,39%@1728,37%@1728,42%@806,40%@806] GR3D_FREQ 0% cpu@54.437C soc2@53.343C soc0@53.125C gpu@53.812C tj@55.25C soc1@55.281C VDD_IN 8120mW/8147mW VDD_CPU_GPU_CV 1430mW/1402mW VDD_SOC 2941mW/2963mW
08-07-2026 21:15:07 RAM 2046/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [43%@729,39%@729,39%@729,39%@729,38%@1728,39%@1728] GR3D_FREQ 0% cpu@54.656C soc2@53.5C soc0@53.062C gpu@54.062C tj@55.562C soc1@55.562C VDD_IN 8160mW/8148mW VDD_CPU_GPU_CV 1430mW/1403mW VDD_SOC 2941mW/2963mW
08-07-2026 21:15:12 RAM 2044/7607MB (lfb 5x4MB) SWAP 0/3804MB (cached 0MB) CPU [41%@729,40%@729,38%@729,39%@1728,39%@729,40%@729] GR3D_FREQ 0% cpu@54.562C soc2@53.375C soc0@53.125C gpu@54C tj@55.375C soc1@55.375C VDD_IN 8160mW/8148mW VDD_CPU_GPU_CV 1428mW/1403mW VDD_SOC 2941mW/2962mW
08-07-2026 21:15:17 RAM 2043/7607MB (lfb 5x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@1728,42%@1728,40%@1728,41%@1728,39%@1728,38%@1728] GR3D_FREQ 0% cpu@54.656C soc2@53.468C soc0@53C gpu@54.093C tj@55.531C soc1@55.531C VDD_IN 8160mW/8148mW VDD_CPU_GPU_CV 1428mW/1404mW VDD_SOC 2941mW/2962mW
08-07-2026 21:15:22 RAM 2048/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@1728,41%@1728,41%@1728,41%@1728,36%@1728,38%@1728] GR3D_FREQ 0% cpu@54.562C soc2@53.375C soc0@53.093C gpu@53.906C tj@55.281C soc1@55.281C VDD_IN 8120mW/8148mW VDD_CPU_GPU_CV 1391mW/1404mW VDD_SOC 2941mW/2961mW
08-07-2026 21:15:27 RAM 2044/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [40%@883,40%@883,39%@883,40%@883,38%@729,41%@729] GR3D_FREQ 0% cpu@54.406C soc2@53.375C soc0@52.937C gpu@53.875C tj@55.406C soc1@55.406C VDD_IN 8160mW/8148mW VDD_CPU_GPU_CV 1430mW/1404mW VDD_SOC 2941mW/2961mW
08-07-2026 21:15:32 RAM 2045/7607MB (lfb 6x4MB) SWAP 0/3804MB (cached 0MB) CPU [41%@729,40%@729,40%@729,40%@729,39%@729,36%@729] GR3D_FREQ 0% cpu@54.375C soc2@53.375C soc0@53.093C gpu@53.75C tj@55.343C soc1@55.343C VDD_IN 8120mW/8147mW VDD_CPU_GPU_CV 1391mW/1404mW VDD_SOC 2941mW/2961mW
08-07-2026 21:15:37 RAM 2061/7607MB (lfb 15x4MB) SWAP 0/3804MB (cached 0MB) CPU [39%@1728,53%@1728,40%@1728,38%@1728,42%@729,38%@729] GR3D_FREQ 0% cpu@54.593C soc2@53.375C soc0@53.093C gpu@54C tj@55.25C soc1@55.25C VDD_IN 8120mW/8147mW VDD_CPU_GPU_CV 1428mW/1404mW VDD_SOC 2941mW/2960mW
